actor_name,drama_name,story_score,acting_cast_score,music_score,rewatch_value_score,overall_score
Jang Ki Yong,Born Again,9.0,9.5,9.2,7.0,9.0
Jang Ki Yong,Come and Hug Me,7.5,8.8,7.9,6.2,7.7
Jang Ki Yong,Go Back Couple,8.7,9.2,8.7,8.4,8.9
Jang Ki Yong,Kill It,7.5,8.8,8.4,5.2,7.5
Jang Ki Yong,Love for a Thousand More,8.1,7.7,7.9,6.6,7.8
Jang Ki Yong,My Roommate Is a Gumiho,7.4,8.7,8.0,6.5,7.8
Jang Ki Yong,"Now, We Are Breaking Up",4.2,4.7,4.7,2.6,4.2
Jang Ki Yong,Search: WWW,7.5,8.3,8.6,5.9,7.8
Jang Ki Yong,The Boy Next Door,9.2,9.7,9.0,9.6,9.5
Jang Ki Yong,We Broke Up,7.3,8.2,8.5,7.1,8.1
Jang Mi Hee,Black Knight: The Man Who Guards Me,4.7,6.0,8.1,3.0,5.1
Jang Mi Hee,Madame Antoine,6.0,7.6,7.0,3.9,6.0
Jang Mi Hee,Marry Me Now,8.2,9.1,7.9,6.7,8.1
Jang Mi Hee,Secret Boutique,8.5,8.5,7.5,6.9,8.2
Jang Min,Monchouchou Globalhouse,6.0,5.7,7.7,4.3,6.7
Jang Min Seol,Arim Inn the Forest,9.8,10.0,9.8,9.0,9.8
Jang Mun Ik,Youtuber Class,7.8,8.2,6.0,5.3,7.8
Jang Na Ra,Family: The Unbreakable Bond,5.1,7.7,6.7,3.2,5.9
Jang Na Ra,Go Back Couple,8.7,9.2,8.7,8.4,8.9
Jang Na Ra,Hello Monster,8.9,9.0,8.4,8.6,9.0
Jang Na Ra,Oh My Baby,7.8,8.4,7.7,4.2,7.5
Jang Na Ra,One More Happy Ending,7.4,9.2,7.5,6.1,8.1
Jang Na Ra,Sell Your Haunted House,9.1,9.4,8.9,8.3,9.1
Jang Na Ra,The Last Empress,6.9,8.5,7.5,4.9,7.0
Jang Na Ra,V.I.P,8.4,9.2,8.4,6.5,8.4
Jang Saem Yi,Welcome to the Lesbian Bar,7.8,9.0,6.7,6.3,8.2
Jang Se Hyun,Risky Romance,7.4,8.4,6.8,7.0,7.8
Jang Se Won,The Ordinary Life of Ms. 'O'!,8.5,9.0,9.0,9.5,9.0
Jang Seo Hee,Band of Sisters,5.2,8.0,6.3,3.0,5.8
Jang Seo Hee,Mom,4.0,4.5,1.0,1.0,4.0
Jang Seo Hee,The Witch's Game,3.5,5.8,7.2,1.0,3.8
Jang Seo Kyung,Romance Written Differently,7.0,10.0,6.0,1.0,7.0
Jang Seung Jo,Chocolate,8.0,8.9,8.2,5.6,7.8
Jang Seung Jo,Encounter,8.5,9.5,9.0,8.2,8.8
Jang Seung Jo,Familiar Wife,8.0,9.2,8.6,7.1,8.3
Jang Seung Jo,I Order You,5.5,7.0,6.1,3.8,6.0
Jang Seung Jo,Money Flower,9.3,9.8,9.4,8.0,9.5
Jang Seung Jo,My Son-In-Law's Woman,3.0,3.0,1.0,1.0,3.0
Jang Seung Jo,Snowdrop,7.9,9.2,9.4,6.1,8.2
Jang Seung Jo,Strangers Again,6.0,8.6,6.5,4.2,6.8
Jang Seung Jo,Teacher Oh Soon Nam,2.0,1.5,1.0,1.0,2.0
Jang Seung Jo,The Good Detective,7.8,8.8,7.4,6.0,7.9
Jang Seung Jo,The Good Detective Season 2,7.6,9.3,6.8,5.9,7.8
Jang Shin Young,Cleaning Up,7.2,8.1,6.4,3.8,6.8
Jang Shin Young,My Heart Twinkle Twinkle,7.9,8.9,6.1,6.6,8.1
Jang Shin Young,Tower of Babel,8.8,8.7,7.3,8.0,8.7
Jang So Jeong,"Remember, Hari",5.0,7.0,7.0,3.0,6.5
Jang So Yeon,Entourage,7.6,8.7,8.2,6.1,7.9
Jang So Yeon,Grid,7.1,8.8,7.2,5.2,7.2
Jang So Yeon,Heart Surgeons,7.4,7.9,7.1,5.8,7.3
Jang So Yeon,Irish Uppercut,8.5,10.0,9.0,7.0,8.5
Jang So Yeon,Something in the Rain,7.0,8.9,7.2,5.8,7.5
Jang Soo Won,Sweet Temptation,9.0,8.7,7.7,9.7,8.8
Jang Sung Yoon,Ghost VRos,9.5,9.5,9.5,8.5,9.5
Jang Sung Yoon,Midnight Horror: Six Nights,7.0,7.0,8.0,6.0,7.0
Jang Sung Yoon,Not a Robot,9.0,9.8,8.8,9.0,9.5
Jang Sung Yoon,Today's Webtoon,6.2,8.2,6.8,4.0,6.6
Jang Tae Hoon,Miss Independent Ji Eun Season 2,8.0,8.2,7.7,6.8,8.1
Jang Tae Hoon,"Romance, Talking",8.4,8.4,7.9,7.6,8.4
Jang Yeo Bin,A Beauty of Revenge,5.8,7.1,3.3,2.3,4.8
Jang Yeo Bin,All That We Loved,7.1,8.6,7.9,7.1,7.3
Jang Yeon Woo,Strong Underdog,9.0,10.0,8.0,8.0,9.0
Jang Yong,Avengers Social Club,9.1,9.4,8.1,8.0,8.8
Jang Yoo Sang,EXO Next Door,6.6,7.8,8.5,7.0,7.5
Jang Yoo Sang,Falling for Do Jeon,7.7,8.5,8.4,6.6,8.0
Jang Yoo Sang,The Boy Next Door,9.2,9.7,9.0,9.6,9.5
Jang Yoon Ju,Money Heist: Korea - Joint Economic Area - Part 1,7.7,8.5,6.8,6.2,7.4
Jang Yoon Ju,Money Heist: Korea - Joint Economic Area - Part 2,8.1,8.8,7.5,6.0,8.4
Jang Yoon Jung,Blueming,8.6,8.9,8.3,7.2,8.6
Jang You Sung,The Director Who Buys Me Dinner,7.6,8.5,7.5,6.5,7.7
Jang Young Joon,A Ticket to India,6.2,9.0,8.5,9.0,8.0
Jang Young Joon,The Eighth Sense,8.8,9.4,8.0,8.0,8.8
Jang Young Nam,Find Me in Your Memory,7.2,8.7,8.4,6.1,7.5
Jang Young Nam,IN-SEOUL,6.9,7.9,6.8,4.1,7.0
Jang Young Nam,It's Okay to Not Be Okay,7.7,9.2,8.7,5.7,7.6
Jang Young Nam,Moebius: The Veil,7.1,7.5,6.4,5.8,7.0
Jang Young Nam,The Smile Has Left Your Eyes,8.0,9.2,8.8,7.3,8.4
Jang Young Nam,The Veil,8.0,8.8,8.5,6.8,8.2
Jang Yu Bin,Next Door Witch J,6.3,8.2,7.1,5.7,6.7
Jang Yu Bin,Triple Fling,6.7,7.2,6.7,5.3,6.8
Jasper Cho,Man Who Dies to Live,5.0,6.2,4.5,4.8,5.0
Jay B,Dream Knight,7.6,7.6,8.3,6.7,7.6
Jay Kim,"TV Novel: Waves, Waves",4.7,4.3,2.5,1.0,4.2
Jei,Lily Fever,5.8,7.7,5.7,5.3,6.2
Jei,The Best Moment To Quit Your Job,7.8,8.9,7.1,5.6,7.6
Jeon Bae Soo,Divorce Attorney Shin,9.0,9.4,8.9,8.5,8.9
Jeon Bae Soo,Extraordinary Attorney Woo,6.5,8.5,6.6,5.9,7.2
Jeon Bae Soo,Strangers Again,6.0,8.6,6.5,4.2,6.8
Jeon Chae Eun,The Devil Judge,8.0,9.3,8.7,6.6,8.4
Jeon Do Yeon,Crash Course in Romance,7.3,8.0,6.3,4.5,6.9
Jeon Do Yeon,Lost,9.2,9.5,9.0,9.1,9.1
Jeon Do Yeon,The Good Wife,8.1,8.9,7.0,6.3,8.1
Jeon Gook Hwan,Eve,5.2,7.5,7.8,4.4,6.2
Jeon Gook Hwan,Night Light,7.6,8.2,7.6,5.3,7.5
Jeon Gook Hwan,One the Woman,6.9,8.2,6.8,5.9,7.0
Jeon Gook Hwan,Pied Piper,7.8,8.0,7.1,5.7,8.0
Jeon Hee Jin,First Love Story,7.5,8.0,5.5,6.5,7.0
Jeon Hee Jin,First Love Story Season 2,6.0,7.0,5.0,5.0,5.0
Jeon Hye Bin,Another Miss Oh,5.7,7.9,7.0,4.6,6.5
Jeon Hye Bin,Falsify,8.8,9.2,8.4,7.4,8.6
Jeon Hye Bin,Leverage,7.0,8.0,6.5,5.5,7.3
Jeon Hye Bin,Liver or Die,6.6,7.9,6.7,4.5,6.8
Jeon Hye Bin,Revolutionary Sisters,7.9,8.8,6.7,6.2,7.9
Jeon Hye Bin,Woman with a Suitcase,7.5,8.3,6.3,6.8,8.0
Jeon Hye Jin,Agency,8.8,9.3,8.2,7.8,8.9
Jeon Hye Jin,Misty,8.5,9.4,8.7,7.1,8.6
Jeon Hye Jin,People You May Know,8.5,8.7,8.3,7.7,8.6
Jeon Hye Jin,Search: WWW,7.5,8.3,8.6,5.9,7.8
Jeon Hye Jin,Stranger Season 2,9.0,9.6,9.3,8.6,9.1
Jeon Hye Jin,Uncle,7.5,8.6,7.4,6.2,7.7
Jeon Hye Won,Kiss Goblin,8.6,8.2,8.1,7.5,8.5
Jeon Hye Yeon,4 Reasons Why I Hate Christmas,7.4,8.0,7.1,6.2,7.5
Jeon Hye Yeon,Re-Feel,8.3,9.0,8.3,7.7,8.7
Jeon Hye Yeon,Re-Feel: If Only,9.0,9.0,9.0,9.0,9.0
Jeon Hye Yeon,Stranger Kim,10.0,10.0,10.0,1.5,10.0
Jeon Hyo Sung,Celebrity,7.4,8.2,8.0,5.9,7.5
Jeon Hyo Sung,Cheo Yong Season 2,7.5,8.0,8.2,5.5,7.7
Jeon Hyo Sung,Introverted Boss,5.9,7.5,8.0,4.9,6.8
Jeon Hyo Sung,Memorist,8.8,9.2,6.8,6.9,8.4
Jeon Ik Ryung,Tracer,7.4,7.8,7.0,6.4,6.9
Jeon Ik Ryung,Tracer Season 2,6.7,6.8,6.0,5.3,6.5
Jeon In Hwa,Homemade Love Story,8.1,9.3,8.6,6.7,8.9
Jeon In Hwa,My Daughter Geum Sa Wol,4.0,6.2,4.2,1.0,4.5
Jeon Jae Yeong,Lover of the Palace,5.8,7.0,5.8,5.0,5.2
Jeon Jae Yeong,To My Star,8.5,8.7,8.2,7.9,8.1
Jeon Jae Yeong,To My Star Season 2: Our Untold Stories,7.0,9.1,7.8,5.3,7.6
Jeon Jae Yeong,Where Your Eyes Linger,7.6,8.3,7.5,7.0,7.7
Jeon Jin Seo,Graceful Family,8.5,9.2,7.8,7.5,8.7
Jeon Jin Seo,The Dolphin in the Little Mermaid,6.0,7.5,7.0,6.0,6.0
Jeon Jong Seo,Bargain,8.0,9.2,6.2,5.6,7.0
Jeon Jong Seo,Money Heist: Korea - Joint Economic Area - Part 1,7.7,8.5,6.8,6.2,7.4
Jeon Jong Seo,Money Heist: Korea - Joint Economic Area - Part 2,8.1,8.8,7.5,6.0,8.4
Jeon Kwang Ryul,Jinxed at First,4.8,6.1,5.4,2.2,5.0
Jeon Kwang Ryul,King Maker: The Change of Destiny,8.3,8.6,8.7,5.8,8.2
Jeon Kwang Ryul,The Flower in Prison,9.2,9.2,8.8,9.2,9.3
Jeon Kwang Ryul,The Man in the Mask,7.5,8.0,6.2,6.0,7.5
Jeon Kwang Ryul,The Royal Gambler,7.6,9.4,8.7,6.8,8.3
Jeon Kwang Ryul,Witch's Court,6.3,8.2,7.1,5.1,6.8
Jeon Kwang Ryul,You're Too Much,6.0,7.5,5.0,5.5,6.2
Jeon Mi Do,Hospital Playlist,8.1,9.0,8.3,6.4,8.2
Jeon Mi Do,Hospital Playlist Season 2,7.8,9.7,8.8,7.1,8.0
Jeon Mi Do,Thirty-Nine,7.6,8.7,7.0,5.9,7.9
Jeon Mi Seon,Andante,6.0,7.2,6.6,4.0,6.2
Jeon Mi Seon,Tempted,5.4,7.0,6.0,3.1,5.7
Jeon Mi Seon,The Unusual Family,3.5,4.0,1.0,1.0,3.5
Jeon Noh Min,Love (ft. Marriage and Divorce),5.8,7.6,6.3,3.7,4.9
Jeon Noh Min,Love (ft. Marriage and Divorce) Season 2,5.5,7.2,7.1,4.9,5.5
Jeon Noh Min,Memory,9.1,9.4,7.5,5.7,9.2
Jeon Noh Min,Queen of the Ring,6.8,8.2,6.7,5.1,6.9
Jeon Noh Min,Secrets and Lies,4.6,5.6,4.6,3.5,4.8
Jeon Seung Bin,Bad Love,7.0,7.8,5.2,5.2,7.0
Jeon So Min,Cleaning Up,7.2,8.1,6.4,3.8,6.8
Jeon So Min,Cross,9.2,9.4,8.8,8.5,9.0
Jeon So Min,Show Window: The Queen's House,7.5,8.7,7.9,4.6,7.4
Jeon So Min,Something About 1 Percent,8.6,9.3,8.5,8.5,9.0
Jeon So Min,Top Star Yoo Baek,7.2,8.2,7.6,6.8,7.4
Jeon So Nee,Our Blooming Youth,7.2,8.2,7.1,5.5,7.5
Jeon So Nee,Scripting Your Destiny,8.2,8.5,8.3,7.7,8.1
Jeon So Nee,When My Love Blooms,8.1,8.9,7.5,5.9,8.0
Jeon Soo Jin,Queen of Mystery,8.9,9.4,8.5,7.8,9.0
Jeon Soo Jin,Your House Helper,8.1,8.0,7.0,6.2,8.0
Jeon Soo Kyung,Love (ft. Marriage and Divorce),5.8,7.6,6.3,3.7,4.9
Jeon Soo Kyung,Love (ft. Marriage and Divorce) Season 2,5.5,7.2,7.1,4.9,5.5
Jeon Soo Kyung,Love (ft. Marriage and Divorce) Season 3,3.7,6.9,6.0,3.4,3.8
Jeon Soo Kyung,Time,6.7,7.9,6.7,4.3,6.5
Jeon Sung Woo,Diary of a Prosecutor,8.9,9.5,7.8,7.7,8.8
Jeon Sung Woo,The Fiery Priest,10.0,10.0,9.8,9.9,9.9
Jeon Yeo Been,Be Melodramatic,8.0,8.8,8.0,7.2,7.9
Jeon Yeo Been,Glitch,7.6,9.2,6.5,5.6,7.3
Jeon Yeo Been,Vincenzo,6.1,8.2,7.1,3.5,6.2
Jeon Yeo Jin,Recipe for Farewell,9.8,9.8,9.4,9.1,9.6
Jeon Yeo Jin,The Ordinary Life of Ms. 'O'!,8.5,9.0,9.0,9.5,9.0
Jeon Yeong In,All That We Loved,7.1,8.6,7.9,7.1,7.3
Jeon Yu Bin,Blue of Winter,5.5,7.6,6.0,3.6,5.9
Jeon Yu Lim,Want More 19,7.6,7.8,7.6,6.0,7.5
Jeong Bo Seok,Homemade Love Story,8.1,9.3,8.6,6.7,8.9
Jeong Bo Seok,Monster,6.0,7.5,6.0,2.0,6.0
Jeong Bo Seok,Secret Royal Inspector & Joy,7.5,8.3,7.5,5.6,7.7
Jeong Ha Yul,"Not Alright, But It's Alright: Pilot",7.0,6.0,5.0,1.0,6.0
Jeong Ha Yul,Phantom the Secret Agent,4.0,4.0,3.0,1.0,5.0
Jeong Hee Tae,Miss Lee,6.3,9.0,5.0,4.8,5.8
Jeong Ho Gyun,A Shoulder to Cry On,7.6,7.8,8.3,6.3,7.7
Jeong Ho Gyun,All the Liquors,6.0,7.1,6.6,4.2,6.2
Jeong In Ji,"Fanletter, Please",8.8,9.1,8.2,8.2,8.7
Jeong Jae Hyun,Dear.M,7.4,8.2,7.5,6.2,7.3
Jeong Joon Hwa,The Best Ending,7.7,8.0,7.7,6.3,7.8
Jeong Seon Yul,Alive,8.2,7.3,6.0,5.8,7.8
Jeong Seon Yul,IN-SEOUL,6.9,7.9,6.8,4.1,7.0
Jeong Seon Yul,Love as You Taste,5.0,8.0,5.5,4.0,4.5
Jeong Seon Yul,One Fine Week,7.5,8.2,7.1,6.5,8.0
Jeong Soo Hyun,22 Flower Road,7.6,8.7,6.9,7.5,8.2
Jeong Soo Hyun,Mokkoji Kitchen,6.5,8.5,6.0,6.0,7.0
Jeong Ui Seong,"Not Alright, But It's Alright",8.0,7.6,7.2,6.4,7.2
Jeong Ye Seo,Daily Moon's,8.2,8.5,7.5,6.8,7.5
Jeong Ye Seo,Ordinary but Special,6.0,7.0,5.0,5.0,4.0
Jeong Yun Ho,Imitation,7.5,7.8,7.9,5.8,7.5
Ji  Il Joo,Bong Soon: A Cyborg in Love,8.0,7.5,7.5,6.0,7.8
Ji  Il Joo,Kill It,7.5,8.8,8.4,5.2,7.5
Ji  Il Joo,Temperature of Love,6.9,8.8,8.1,5.5,7.3
Ji Chang Wook,Backstreet Rookie,7.5,9.0,8.3,6.7,8.3
Ji Chang Wook,If You Wish Upon Me,7.9,9.2,8.3,7.2,8.0
Ji Chang Wook,Lovestruck in the City,8.5,9.5,9.0,8.2,8.8
Ji Chang Wook,Melting Me Softly,4.2,6.6,6.4,3.4,5.0
Ji Chang Wook,Suspicious Partner,8.0,9.2,8.2,7.0,8.2
Ji Chang Wook,The K2,7.1,8.5,7.7,4.9,7.6
Ji Chang Wook,The Sound of Magic,8.5,9.2,8.8,7.0,8.7
Ji Dae Han,Eating Existence,5.6,7.1,5.8,3.8,6.1
Ji Eun Sung,Banana Actually,8.0,8.0,7.5,7.0,7.5
Ji Eun Sung,She Is 200 Years Old,6.1,6.1,6.0,4.2,6.4
Ji Eun Sung,TV Novel: My Mind’s Flower Rain,4.8,4.0,2.2,3.0,4.8
Ji Gun Woo,Idol Fever,6.0,8.0,5.8,4.2,5.8
Ji Gun Woo,Sweet Revenge,8.4,9.0,7.5,7.2,8.2
Ji Gun Woo,Sweet Revenge Season 2,8.1,8.4,7.7,7.7,8.1
Ji Han Sol,Love After School Season 2,4.0,5.5,3.5,2.5,3.5
Ji Ho Sung,Bio Homme,8.0,7.5,10.0,8.0,8.5
Ji Hwa Seop,Wish Woosh Season 2,6.2,7.2,5.2,6.2,6.2
Ji Hye Won,The Sound of Magic,8.5,9.2,8.8,7.0,8.7
Ji Hyun Woo,Angry Mom,8.7,9.2,7.7,7.1,8.6
Ji Hyun Woo,Awl,6.6,7.4,5.6,5.8,7.1
Ji Hyun Woo,"Bad Thief, Good Thief",9.0,9.5,9.4,6.9,9.1
Ji Hyun Woo,Lonely Enough to Love,7.0,7.7,6.7,4.9,6.8
Ji Hyun Woo,Love in Sadness,7.6,8.1,7.2,5.8,7.4
Ji Hyun Woo,Risky Romance,7.4,8.4,6.8,7.0,7.8
Ji Hyun Woo,Wanted,7.2,8.5,8.0,2.8,6.8
Ji Hyun Woo,Young Lady and Gentleman,4.4,7.8,6.5,2.5,5.5
Ji Jin Hee,Blood,6.0,6.5,5.8,4.4,6.4
Ji Jin Hee,D.P. Season 2,8.0,9.5,8.8,6.8,8.4
Ji Jin Hee,Designated Survivor: 60 Days,8.5,9.1,8.0,7.1,8.4
Ji Jin Hee,I Have a Lover,7.2,8.9,7.6,6.2,7.6
Ji Jin Hee,Misty,8.5,9.4,8.7,7.1,8.6
Ji Jin Hee,Second to Last Love,7.8,9.0,8.4,7.7,8.0
Ji Jin Hee,The Road: The Tragedy of One,6.9,8.6,7.9,3.5,6.6
Ji Jin Hee,Undercover,7.3,8.5,7.5,5.7,7.5
Ji Min Hyuk,Not a Robot,9.0,9.8,8.8,9.0,9.5
Ji Min Hyuk,Sweet Revenge Season 2,8.1,8.4,7.7,7.7,8.1
Ji Seung Hyun,"Hello, Me!",7.8,8.3,7.8,6.4,7.8
Ji Seung Hyun,Lovely Horribly,5.9,6.4,6.5,3.6,6.0
Ji Seung Hyun,Naughty Boy,10.0,10.0,9.5,9.5,10.0
Ji Seung Hyun,Search: WWW,7.5,8.3,8.6,5.9,7.8
Ji Seung Hyun,Team Bulldog: Off-duty Investigation,9.2,9.5,8.3,7.9,9.2
Ji Seung Hyun,The Good Detective,7.8,8.8,7.4,6.0,7.9
Ji Soo Won,Gracious Revenge,5.8,6.5,5.0,3.5,5.8
Ji Soo Won,Second Husband,5.5,6.8,5.7,3.5,5.6
Ji Soo Won,The Sound of Your Heart: Reboot,7.8,8.0,8.0,7.0,7.2
Ji Soo Won,The Sound of Your Heart: Reboot Season 2,8.5,7.5,8.0,9.0,8.0
Ji Sung,Adamas,7.4,8.8,7.7,5.0,7.3
Ji Sung,Defendant,8.0,9.6,8.2,6.5,8.4
Ji Sung,Doctor John,7.4,8.8,7.3,5.8,7.5
Ji Sung,Entertainer,7.9,8.4,8.7,6.6,7.9
Ji Sung,Familiar Wife,8.0,9.2,8.6,7.1,8.3
Ji Sung,"Kill Me, Heal Me",8.5,9.0,8.8,8.0,8.7
Ji Sung,The Devil Judge,8.0,9.3,8.7,6.6,8.4
Ji Woo,Age of Youth Season 2,8.9,8.1,8.9,7.9,8.7
Ji Woo,The Universe’s Star,8.3,8.5,8.5,6.3,8.6
Ji Ye Eun,Yellow,7.6,8.1,7.6,7.1,7.8
Ji Yi Soo,Login to You,6.5,7.5,5.0,6.0,7.0
Ji Yi Soo,Sponsor,7.5,7.5,5.2,3.2,5.8
Ji Yoon Ho,Girls' Love Story,4.8,6.2,5.0,5.2,5.5
Ji Young San,Love (ft. Marriage and Divorce) Season 3,3.7,6.9,6.0,3.4,3.8
Jihan,The World of My 17 Season 2,8.5,8.7,8.2,7.2,8.1
Jim Yu,Swan,5.0,8.0,1.0,1.0,6.5
Jimmy Karn Kritsanaphan,Peach of Time,8.2,9.0,9.0,7.8,8.4
Jin  Ji Hee,Baek Hee Has Returned,7.9,8.9,6.9,6.2,8.0
Jin  Ji Hee,The Temperature of Language: Our Nineteen,9.0,9.1,7.8,6.8,9.0
Jin Goo,A Superior Day,4.3,6.6,5.4,3.3,4.7
Jin Goo,Descendants of the Sun,7.2,8.6,8.8,6.2,7.8
Jin Goo,Legal High,6.7,7.5,5.9,5.1,6.3
Jin Goo,Night Light,7.6,8.2,7.6,5.3,7.5
Jin Goo,Shadow Detective,8.6,9.4,8.4,8.4,8.6
Jin Goo,The King of the Desert,8.2,9.2,6.8,4.7,8.2
Jin Goo,Untouchable,6.0,7.8,5.0,3.0,4.8
Jin Ha,Pachinko,8.9,9.5,8.2,6.8,8.6
Jin Hee Kyung,Doctor Prisoner,8.6,9.5,8.0,6.9,8.5
Jin Hee Kyung,Fight for My Way,8.2,9.1,8.5,8.2,8.6
Jin Hee Kyung,Somehow Family,6.0,8.0,5.0,6.0,8.0
Jin Hee Kyung,Suits,8.2,8.9,7.0,6.4,7.9
Jin Hee Kyung,The Killer's Shopping List,8.7,9.1,8.0,6.9,8.5
Jin Ho Eun,"Go, Back Diary",5.7,7.9,5.7,4.3,6.0
Jin Ho Eun,Recipe for Farewell,9.8,9.8,9.4,9.1,9.6
Jin Ho Eun,The Secret of Secret,7.5,9.5,7.5,4.5,7.5
Jin Ho Eun,To My Beautiful Woo Ri,8.0,8.1,6.6,5.2,8.0
Jin Ho Eun,Twenty-Twenty,8.8,8.8,8.9,8.3,8.8
Jin Ho Eun,Your Imagination Becomes Reality,7.8,8.5,7.0,6.5,7.5
Jin Jin,Soul Plate,7.4,7.2,6.2,5.2,7.2
Jin Jin,To Be Continued,6.6,7.6,8.8,7.2,7.6
Jin Joo Hyung,Sunny Again Tomorrow,6.7,6.7,5.5,4.2,5.3
Jin Ki Joo,Come and Hug Me,7.5,8.8,7.9,6.2,7.7
Jin Ki Joo,"From Now On, Showtime!",8.7,8.9,8.2,7.8,8.7
Jin Ki Joo,Homemade Love Story,8.1,9.3,8.6,6.7,8.9
Jin Ki Joo,Misty,8.5,9.4,8.7,7.1,8.6
Jin Ki Joo,My Perfect Stranger,9.0,9.2,7.8,6.7,8.8
Jin Ki Joo,The Secret Life of My Secretary,7.7,8.8,8.2,7.6,8.2
Jin Ki Joo,Wednesday 3:30 PM,7.3,7.9,8.2,6.2,7.8
Jin Kyung,Blood,6.0,6.5,5.8,4.4,6.4
Jin Kyung,Dr. Romantic Season 3,8.8,9.5,9.2,8.2,9.0
Jin Kyung,Extraordinary Attorney Woo,6.5,8.5,6.6,5.9,7.2
Jin Kyung,Homemade Love Story,8.1,9.3,8.6,6.7,8.9
Jin Kyung,Love in Contract,4.5,6.4,5.1,2.0,4.9
Jin Kyung,Melancholia,8.9,9.6,9.2,7.7,9.2
Jin Kyung,Uncontrollably Fond,7.2,8.1,8.5,4.9,7.5
Jin Kyung,Woman with a Suitcase,7.5,8.3,6.3,6.8,8.0
Jin Se Yeon,Born Again,9.0,9.5,9.2,7.0,9.0
Jin Se Yeon,Grand Prince,6.8,7.7,7.5,5.2,6.7
Jin Se Yeon,High-end Crush,8.3,9.0,7.6,7.5,8.7
Jin Se Yeon,Item,5.8,6.9,5.2,3.9,5.8
Jin Se Yeon,Queen: Love and War,8.0,8.4,8.5,6.4,8.0
Jin Se Yeon,The Flower in Prison,9.2,9.2,8.8,9.2,9.3
Jin Seo Yun,Battle for Happiness,8.3,8.4,8.8,6.4,7.9
Jin Seo Yun,One the Woman,6.9,8.2,6.8,5.9,7.0
Jin Seo Yun,Tell Me What You Saw,7.8,8.7,8.1,7.2,7.9
Jin Seon Kyu,Bargain,8.0,9.2,6.2,5.6,7.0
Jin Seon Kyu,Revenant,8.6,9.6,8.2,7.5,8.7
Jin Seon Kyu,Through the Darkness,7.2,8.8,6.9,5.5,7.2
Jin So Yeon,Office Watch,7.8,8.0,6.7,6.7,7.5
Jin Tae Hyun,Left-Handed Wife,6.6,6.3,4.8,3.7,6.0
Jin Tae Hyun,Monster,6.0,7.5,6.0,2.0,6.0
Jin Woo Jin,Ghostderella,7.0,8.5,7.0,6.5,7.2
Jin Ye Ju,4 Reasons Why I Hate Christmas,7.4,8.0,7.1,6.2,7.5
Jin Ye Ju,IN-SEOUL,6.9,7.9,6.8,4.1,7.0
Jin Ye Ju,IN-SEOUL Season 2,8.5,8.8,6.8,8.0,8.3
Jin Ye Ju,Kiss Scene in Yeonnamdong,7.6,8.4,7.1,5.7,7.6
Jin Ye Ju,My Only Love Song,6.5,7.0,6.8,5.8,6.6
Jin Ye Ju,That Man Oh Soo,4.4,6.1,5.6,2.2,4.8
Jin Ye Sol,It's My Life,6.5,8.2,6.5,6.2,6.8
Jin Ye Sol,My Wonderful Life,3.6,6.0,3.1,1.0,2.9
Jin Ye Sol,You Are a Gift,7.0,6.2,5.0,4.8,7.5
Jin Yea,Café Kilimanjaro,7.5,8.4,8.6,5.6,8.0
Jin Yea,My Ghost Brother,6.0,7.0,5.0,4.0,6.5
Jin Yi Han,Cross,9.2,9.4,8.8,8.5,9.0
Jin Yi Han,Golden Pouch,6.9,8.5,6.6,5.4,7.6
Jin Yi Han,Oasis,7.8,9.0,8.3,7.1,7.9
Jin Yi Han,The Family Is Coming,7.8,8.2,6.0,6.0,8.0
JinSoul,First Love Story Season 3,6.0,7.0,5.0,5.0,5.0
Jo  Woo Jin,Chicago Typewriter,8.9,9.3,9.5,8.2,9.2
Jo  Woo Jin,Happiness,6.2,8.9,7.3,5.0,6.8
Jo  Woo Jin,Narco-Saints,7.9,8.9,7.4,5.7,7.5
Jo A Young,"TV Novel: Waves, Waves",4.7,4.3,2.5,1.0,4.2
Jo Ah Young,Can You Deliver Time? 2002,9.0,8.0,8.0,8.0,9.0
Jo Ah Young,Multi Personality Girl,7.0,9.0,6.0,8.0,7.5
Jo An,Blessing of the Sea,3.5,4.5,1.0,1.0,3.5
Jo An,The Dearest Lady,4.2,5.0,3.0,1.0,3.5
Jo Aram,Doctor Cha,5.2,8.0,6.0,4.1,5.5
Jo Bo Ah,Forest,7.3,8.3,7.5,5.8,7.5
Jo Bo Ah,Goodbye to Goodbye,7.7,8.1,6.6,6.0,7.6
Jo Bo Ah,Love Cells Season 2,4.6,7.8,6.0,3.9,5.9
Jo Bo Ah,Military Prosecutor Doberman,8.7,9.1,7.7,6.9,8.2
Jo Bo Ah,Missing Noir M,8.3,9.2,9.0,6.9,8.7
Jo Bo Ah,My Strange Hero,6.8,8.9,7.5,5.6,7.6
Jo Bo Ah,Sweet Stranger and Me,6.8,7.8,6.6,4.6,6.4
Jo Bo Ah,Tale of the Nine-Tailed,7.8,8.6,8.3,7.0,7.8
Jo Bo Ah,Temperature of Love,6.9,8.8,8.1,5.5,7.3
Jo Bok Rae,Dr. Brain,7.9,9.2,8.2,7.7,8.4
Jo Bok Rae,Vampire Detective,6.3,8.3,6.2,5.4,7.0
Jo Bok Rae,What's Your Blood Type?,7.5,9.5,9.0,9.2,8.5
