actor_name,drama_name,story_score,acting_cast_score,music_score,rewatch_value_score,overall_score
Ahn Nae Sang,The Road: The Tragedy of One,6.9,8.6,7.9,3.5,6.6
Ahn Nae Sang,Unlock My Boss,8.9,9.2,8.5,7.7,8.6
Ahn Se Ha,20th Century Boy and Girl,7.7,9.0,8.0,7.7,8.4
Ahn Se Ha,King the Land,6.6,8.8,8.2,6.0,7.7
Ahn Se Ha,She Was Pretty,7.6,8.6,7.9,6.0,7.8
Ahn Se Ha,Spring Turns to Spring,7.8,9.3,7.4,6.9,8.2
Ahn Se Ha,Voice Season 2,8.5,9.0,8.8,7.2,8.7
Ahn Se Ha,Zombie Detective,7.6,8.7,7.8,6.5,8.1
Ahn Se Ho,Player,8.6,9.2,8.9,8.2,9.0
Ahn Se Min,Let Me Off the Earth,8.1,8.7,8.8,6.7,8.1
Ahn Se Min,User Not Found,7.2,7.0,7.2,5.2,6.9
Ahn Seo Hyun,Sweet Revenge Season 2,8.1,8.4,7.7,7.7,8.1
Ahn Seung Gyun,365: Repeat the Year,8.4,9.0,7.2,6.2,8.5
Ahn Seung Gyun,Catch the Ghost,7.2,8.0,6.8,5.1,6.8
Ahn Seung Hwan,Banana Actually,8.0,8.0,7.5,7.0,7.5
Ahn Shi Eun,Flower Ever After,8.3,8.4,8.1,7.6,8.2
Ahn Shi Eun,It's Okay to Be Sensitive Season 2,8.7,8.7,8.0,4.3,8.5
Ahn So Hee,Eulachacha Waikiki Season 2,7.3,8.0,7.0,6.3,7.4
Ahn So Hee,Heart to Heart,9.0,9.5,8.6,8.6,9.3
Ahn So Hee,Missing: The Other Side,9.6,9.7,9.0,7.6,9.4
Ahn So Hee,Missing: The Other Side Season 2,9.5,9.6,8.9,8.5,9.4
Ahn Sol Bin,A Special Meal of the Weirdo 'Nara',6.0,7.0,5.0,5.0,4.0
Ahn Sol Bin,Backstreet Rookie,7.5,9.0,8.3,6.7,8.3
Ahn Sol Bin,Idol: The Coup,8.5,9.1,9.2,8.3,8.8
Ahn Sol Bin,Meloholic,6.3,7.2,6.7,4.5,6.4
Ahn Sol Bin,Soul Plate,7.4,7.2,6.2,5.2,7.2
Ahn Suk Hwan,The Uncanny Counter,7.8,9.0,8.2,7.2,8.2
Ahn Sun Young,Madam Cha Dal Rae's Love,4.0,5.0,1.0,1.0,4.0
Ahn Woo Yeon,Check Out the Event,6.9,7.8,7.0,4.7,7.0
Ahn Woo Yeon,Circle,9.3,9.2,8.0,8.6,9.0
Ahn Woo Yeon,Kokdu: Season of Deity,7.0,8.2,7.8,4.8,7.3
Ahn Woo Yeon,Let's Eat Season 3,7.6,8.4,7.0,7.3,7.6
Ahn Woo Yeon,Mad for Each Other,8.3,9.1,8.3,7.3,8.1
Ahn Woo Yeon,Nice Witch,8.0,8.5,7.1,7.2,8.2
Ahn Woo Yeon,The Banker,8.0,8.0,8.0,5.0,8.0
Ahn Yeon Sun,She Makes My Heart Flutter,9.2,9.3,8.7,9.5,9.3
Ahn Young Mi,Eating Existence,5.6,7.1,5.8,3.8,6.1
Ahn Yu Jeong,How to Hate You,8.2,8.8,7.6,7.8,8.4
Ahn Yun Hong,Shady Mom-in-Law,5.2,4.0,4.5,2.7,4.3
Alex,"I'm a Mother, Too",6.2,6.0,4.2,2.0,5.8
Ami,Delicious Love,2.2,3.0,4.2,1.0,2.7
An So Jin,"Breakup Probation, A Week",6.6,8.4,7.2,5.9,7.2
An So Jin,Goedam,7.0,7.4,6.8,6.2,6.6
An So Jin,TV Novel: That Sun in the Sky,6.0,6.0,5.8,1.0,6.0
An So Jin,The Jingbirok: A Memoir of Imjin War,9.8,9.2,8.8,8.8,10.0
An So Jin,Want a Taste?,4.0,4.8,3.8,2.1,3.4
Andreas Varsakopoulos,Somehow Family,6.0,8.0,5.0,6.0,8.0
Andy,My Mother Is a Daughter-In-Law,10.0,10.0,10.0,10.0,10.0
Anupam Tripathi,Squid Game,5.8,8.0,6.9,4.6,6.4
Anzardi Timothee,Broke Rookie Star,8.0,7.0,8.0,4.0,7.0
Arin,The World of My 17,7.1,7.0,7.5,6.5,7.1
B-Bomb,Jumping Girl,6.4,7.6,6.5,6.8,6.8
Bae Da Bin,Do You Like Brahms?,7.3,8.8,9.2,5.8,7.8
Bae Da Bin,It's Beautiful Now,8.5,8.9,8.0,7.5,8.4
Bae Doo Na,Kingdom,8.2,8.4,7.4,7.6,8.1
Bae Doo Na,Kingdom Season 2,9.2,9.3,7.9,7.9,8.9
Bae Doo Na,Matrimonial Chaos,7.5,8.9,7.4,6.0,7.6
Bae Doo Na,Persona,6.8,8.9,6.6,5.5,7.0
Bae Doo Na,Stranger,8.8,9.4,8.4,7.6,9.0
Bae Doo Na,Stranger Season 2,9.0,9.6,9.3,8.6,9.1
Bae Doo Na,The Silent Sea,6.8,8.8,7.5,5.9,7.0
Bae Hae Seon,Hotel del Luna,7.0,8.2,8.5,6.3,7.7
Bae Hae Seon,Political Fever,7.0,8.0,7.5,5.0,8.5
Bae Hae Seon,The Great Shaman Ga Doo Shim,7.2,8.9,7.9,6.7,7.4
Bae Hae Seon,Yong Pal,8.4,9.1,7.5,7.5,8.4
Bae Hyeon Jun,New Love Playlist,7.0,8.1,7.4,4.8,6.2
Bae Hyun Sung,Dear.M,7.4,8.2,7.5,6.2,7.3
Bae Hyun Sung,Gaus Electronics,9.1,9.5,8.1,8.8,9.2
Bae Hyun Sung,Love Playlist Season 4,8.7,9.0,9.1,7.4,8.7
Bae In Hyuk,"At a Distance, Spring Is Green",6.9,8.2,8.3,5.9,7.5
Bae In Hyuk,Cheer Up,6.3,8.3,7.9,5.0,7.0
Bae In Hyuk,Kiss Goblin,8.6,8.2,8.1,7.5,8.5
Bae In Hyuk,Kiss Scene in Yeonnamdong,7.6,8.4,7.1,5.7,7.6
Bae In Hyuk,My Roommate Is a Gumiho,7.4,8.7,8.0,6.5,7.8
Bae In Hyuk,"Teacher, Would You Like to Date Me?",5.0,7.0,7.0,3.0,5.5
Bae In Hyuk,Why Her?,7.5,9.0,8.0,5.8,7.7
Bae In Hyuk,XX,8.8,9.2,8.8,7.1,9.0
Bae Jin Woong,Thumping Spike 2,7.6,8.5,8.2,6.4,7.8
Bae Jin Young,User Not Found,7.2,7.0,7.2,5.2,6.9
Bae Jong Ok,Bubblegum,7.1,8.8,7.1,5.7,6.9
Bae Jong Ok,Graceful Family,8.5,9.2,7.8,7.5,8.7
Bae Jong Ok,Live,9.7,9.7,9.2,8.9,9.6
Bae Jong Ok,Mr. Queen,9.6,9.7,9.2,9.2,9.6
Bae Jong Ok,Secret Royal Inspector & Joy,7.5,8.3,7.5,5.6,7.7
Bae Jong Ok,Spy,5.9,7.6,6.5,4.1,6.5
Bae Jong Ok,Unknown Woman,5.2,6.8,4.2,3.1,5.5
Bae Jung Nam,We Broke Up,7.3,8.2,8.5,7.1,8.1
Bae Kyu Ri,Devil Inspector,7.8,6.9,7.7,7.2,7.6
Bae Noo Ri,Cheers to Me,9.0,9.0,9.5,10.0,9.0
Bae Noo Ri,Dramaworld,6.7,5.5,5.8,5.8,6.6
Bae Noo Ri,In Your Dream,5.0,7.0,4.0,2.0,5.0
Bae Noo Ri,The Love in Your Eyes,6.1,7.8,6.0,4.5,6.1
Bae Seul Gi,Amor Fati,5.0,5.2,4.0,4.2,5.0
Bae Seul Gi,The Flatterer,7.3,8.2,4.8,7.5,7.3
Bae So Young,Persona,6.8,8.9,6.6,5.5,7.0
Bae Soo Bin,A Pledge to God,7.8,8.5,6.8,6.3,7.8
Bae Soo Bin,Graceful Friends,7.8,9.5,8.0,6.7,8.3
Bae Soo Bin,My Heart Twinkle Twinkle,7.9,8.9,6.1,6.6,8.1
Bae Soo Bin,Nice Witch,8.0,8.5,7.1,7.2,8.2
Bae Sung Woo,Delayed Justice,9.5,9.4,8.2,7.6,8.7
Bae Sung Woo,Live,9.7,9.7,9.2,8.9,9.6
Bae Suzy,Anna,8.6,8.5,6.8,6.6,8.4
Bae Suzy,Anna: Extended Version,7.9,9.4,8.4,6.4,8.0
Bae Suzy,Start-Up,6.8,8.8,8.7,6.3,7.2
Bae Suzy,Uncontrollably Fond,7.2,8.1,8.5,4.9,7.5
Bae Suzy,Vagabond,7.7,9.3,8.1,5.7,7.4
Bae Suzy,While You Were Sleeping,8.3,8.7,8.8,6.8,8.2
Bae Woo Hee,Hit the Spot,9.0,9.3,7.9,8.1,9.0
Bae Woo Hee,Number Six,4.6,7.3,5.9,2.9,5.4
Bae Woo Hee,One Fine Week Season 2,6.5,8.0,7.7,5.5,7.4
Bae Woo Hee,Thumbs Up Feeds Me,9.0,8.5,8.0,9.0,9.0
Bae Yoo Ram,Taxi Driver Season 2,7.0,8.6,8.1,6.5,7.6
Bae Yoo Ram,Unicorn,8.6,9.4,7.6,8.2,8.9
Bae Yoo Ram,Untouchable,6.0,7.8,5.0,3.0,4.8
Bae Yoon Kyung,Mute,7.2,7.5,7.6,7.2,7.6
Bae Yoon Kyung,The King's Affection,7.0,8.5,8.0,6.1,7.2
Bae Yoon Kyung,Unicorn,8.6,9.4,7.6,8.2,8.9
Bae Yu Jin,The Moment the Heart Shines,7.3,8.5,7.7,6.3,7.2
Baek  Yoon Shik,Vagabond,7.7,9.3,8.1,5.7,7.4
Baek Bo Ram,Blessing of the Sea,3.5,4.5,1.0,1.0,3.5
Baek Bo Ram,Missing Korea,6.4,7.1,3.9,3.4,6.4
Baek Chul Min,Andante,6.0,7.2,6.6,4.0,6.2
Baek Chul Min,Matching! Boys Archery,6.2,6.6,5.0,6.1,6.6
Baek Chun Ki,Voice,7.6,8.1,7.4,6.1,7.9
Baek Eun Hye,Sell Your Haunted House,9.1,9.4,8.9,8.3,9.1
Baek Hyun Jin,Gaus Electronics,9.1,9.5,8.1,8.8,9.2
Baek Hyun Jin,Happiness,6.2,8.9,7.3,5.0,6.8
Baek Hyun Jin,Political Fever,7.0,8.0,7.5,5.0,8.5
Baek Hyun Jin,Tomorrow With You,8.3,8.8,8.8,7.4,8.4
Baek Jae Min,Mermaid Prince,6.7,7.2,5.6,5.2,6.4
Baek Jae Min,Our Love Story,8.0,8.0,6.5,5.5,7.5
Baek Jae Woo,Back to the 2008,8.0,7.5,7.5,8.0,8.0
Baek Jae Woo,Dear My Name,8.3,8.5,6.9,7.3,8.1
Baek Ji Hye,Shadow Beauty,7.4,8.6,6.8,6.0,7.4
Baek Ji Hye,The New Employee,7.2,8.2,7.3,6.5,7.7
Baek Ji Won,Extraordinary Attorney Woo,6.5,8.5,6.6,5.9,7.2
Baek Ji Won,I Have a Lover,7.2,8.9,7.6,6.2,7.6
Baek Ji Won,Mad for Each Other,8.3,9.1,8.3,7.3,8.1
Baek Ji Won,Miss Lee,6.3,9.0,5.0,4.8,5.8
Baek Ji Won,Once Upon a Small Town,6.3,7.4,6.1,5.0,6.8
Baek Ji Won,Race,7.5,8.3,7.8,6.3,6.7
Baek Jin,Café Kilimanjaro,7.5,8.4,8.6,5.6,8.0
Baek Jin Hee,Feel Good to Die,8.2,8.9,8.1,7.4,8.3
Baek Jin Hee,Jugglers,6.2,7.5,6.8,5.3,6.5
Baek Jin Hee,Let's Eat Season 3,7.6,8.4,7.0,7.3,7.6
Baek Jin Hee,Missing 9,5.7,8.7,6.9,3.8,5.7
Baek Jin Hee,My Daughter Geum Sa Wol,4.0,6.2,4.2,1.0,4.5
Baek Jong Won,I Order You,5.5,7.0,6.1,3.8,6.0
Baek Min Hyun,In Your Dream,5.0,7.0,4.0,2.0,5.0
Baek Sang Hee,When Time Stopped,7.6,8.9,9.0,5.6,7.7
Baek Seo Bin,Wish You: Your Melody From My Heart,6.4,7.3,8.1,5.5,6.8
Baek Seo Hoo,Color Rush,6.7,6.7,8.8,5.3,6.9
Baek Seo Hoo,Color Rush Season 2,6.6,8.4,8.2,5.5,7.5
Baek Seo Yi,Number Six,4.6,7.3,5.9,2.9,5.4
Baek Seung Do,Nightmare Teacher,7.4,8.3,7.8,6.1,7.6
Baek Seung Do,TV Novel: A Sea of Her Own,2.0,2.0,1.0,1.0,2.0
Baek Seung Hee,A Bird That Doesn't Sing,6.5,6.8,3.5,4.2,6.2
Baek Seung Heon,My Secret Romance,5.6,6.8,6.2,3.9,5.9
Baek Seung Hwan,Everything and Nothing,8.9,9.4,7.9,7.7,8.8
Baek Seung Hwan,Oh! Dear Half-Basement Goddesses,7.0,9.0,2.0,3.5,9.0
Baek Song Ha,To My Star Season 2: Our Untold Stories,7.0,9.1,7.8,5.3,7.6
Baek Song Hee,Love Tractor,8.1,8.8,8.5,7.5,8.4
Baek Soo Hee,Between Friendship and Love,6.8,6.7,6.3,5.0,6.5
Baek Soo Hee,Office Watch,7.8,8.0,6.7,6.7,7.5
Baek Soo Min,Lover of the Palace,5.8,7.0,5.8,5.0,5.2
Baek Soo Min,More Than Friends,5.0,7.7,7.1,3.8,5.2
Baek Sung Chul,How to Be Thirty,6.4,7.7,6.6,5.5,6.5
Baek Sung Chul,Inspector Koo,7.8,9.0,9.0,7.2,7.8
Baek Sung Chul,Once Upon a Small Town,6.3,7.4,6.1,5.0,6.8
Baek Sung Hyun,Casting a Spell to You,6.4,7.6,6.3,4.5,6.6
Baek Sung Hyun,My Love Eun Dong,8.5,9.0,8.3,7.0,8.5
Baek Sung Hyun,The Love in Your Eyes,6.1,7.8,6.0,4.5,6.1
Baek Sung Hyun,Voice Season 4: Judgment Hour,8.0,8.8,7.4,6.5,7.8
Baek Ye Bin,Happy Ending,7.5,9.5,7.5,7.5,8.0
Baek Ye Bin,Happy Merry Ending,6.0,8.2,8.2,5.1,6.8
Baek Young Kwang,YG Future Strategy Office,7.5,7.5,8.0,8.0,7.8
BamBam,Dream Knight,7.6,7.6,8.3,6.7,7.6
